Carimbo de data/hora,Ja é aluno da INFNET?,Qual seu nivel de formação?,Qual sua renda pessoal?,Quantas pessoas na casa ou dependentes?,Qual sua renda familiar?,Qual sua idade?,Qual seu sexo?,Qual sua área de interesse principal?,Qual sua área de interesse secundaria (Opcional)?,Quanto tempo dedicaria para um curso profissionalizante ?,Como você lida com prazos apertados e pressão?,Qual sua afinidade com tecnologia?,Qual seu nível de matemática na sua opinião ?,Qual seu estilo musical preferido?,Qual dos seguintes cenários você considera mais estimulante?,"Em um filme de ficção científica, o que te fascina mais?",O que te motiva mais em um trabalho?,"Se você pudesse ter superpoder, qual escolheria?","Quando você precisa resolver um problema complexo, qual é a sua primeira ação?"
08/09/2025 14:09:28,Sim,Cursando Ensino Superior,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",2,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",22 anos,Masculino,Engenharia de Computação,Banco de Dados (Engenharia de Dados),5 anos ou mais,Mal,Média,Iniciante,Outros,Construir um robô que resolve problemas do dia a dia.,As tecnologias usadas para se comunicar e transferir dados.,A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 14:45:11,Sim,Cursando Ensino Superior,Até R$ 1.500 (~até 1 SM),2,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",19,Masculino,Segurança da Informação e Defesa Cibernética,Ciência de Dados (e Inteligência Artificial),2 anos e meio,Bem,Média,Médio,"Góspel, Hinos ou Canticos",Proteger dados sensíveis de um vazamento cibernético.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A habilidade de criar objetos e mundos com a mente,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 14:54:36,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),2,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",19,Femenino,Marketing Digital,Marketing Digital,2 anos e meio,Mal,Alta,Avançado,"Sertanejo, Samba ou Pagode",Desenvolver uma campanha de anúncios online que atrai milhares de clientes.,"O visual, os efeitos especiais e o design dos cenários.",A oportunidade de usar a criatividade para inovar.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 15:01:35,Sim,Ensino Superior Completo,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",2,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",38,Masculino,Engenharia de Computação,Engenharia de Software,5 anos ou mais,Bem,Alta,Iniciante,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,As tecnologias usadas para se comunicar e transferir dados.,A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 15:19:56,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),4,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",25,Masculino,Engenharia de Software,Banco de Dados (Engenharia de Dados),2 anos e meio,Bem,Alta,Médio,Rock e Metal,Desenvolver uma campanha de anúncios online que atrai milhares de clientes.,A segurança dos sistemas e os códigos de acesso.,A possibilidade de construir e ver um produto funcionando.,A habilidade de criar objetos e mundos com a mente,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 15:20:50,Sim,Cursando Ensino Superior,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",2,De R$ 10.001 a R$ 15.000 (7–10 SM),33,Masculino,Engenharia de Software,Engenharia de Dados e Inteligência Artificial,5 anos ou mais,Muito Bem,Média,Médio,Outros,Construir um robô que resolve problemas do dia a dia.,As tecnologias usadas para se comunicar e transferir dados.,A chance de analisar informações e encontrar padrões.,A habilidade de criar objetos e mundos com a mente,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 15:22:08,Sim,Ensino Superior Completo,Sem renda,4,Prefiro não informar,45,Masculino,Engenharia de Computação,Engenharia de Dados e Inteligência Artificial,2 anos e meio,Mal,Média,Avançado,"Góspel, Hinos ou Canticos",Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A oportunidade de usar a criatividade para inovar.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 15:25:55,Sim,Cursando Ensino Superior,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",3,De R$ 10.001 a R$ 15.000 (7–10 SM),20,Masculino,Engenharia de Software,Engenharia de Dados e Inteligência Artificial,5 anos ou mais,Bem,Média,Médio,"Sertanejo, Samba ou Pagode",Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A oportunidade de usar a criatividade para inovar.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 15:46:34,Não,Ensino Superior Completo,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",1,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",32,Masculino,Engenharia de Dados e Inteligência Artificial,Jogos Digitais,4 anos,Bem,Média,Avançado,"Sertanejo, Samba ou Pagode",Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A chance de analisar informações e encontrar padrões.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 15:56:27,Sim,Ensino Superior Completo,Sem renda,2,Prefiro não informar,31,Masculino,Engenharia de Software,Engenharia de Dados e Inteligência Artificial,2 anos e meio,Bem,Alta,Avançado,Outros,Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A oportunidade de usar a criatividade para inovar.,A habilidade de criar objetos e mundos com a mente,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 16:04:14,Sim,Cursando Ensino Superior,De R$ 7.501 a R$ 10.000 (5–7 SM),3,De R$ 10.001 a R$ 15.000 (7–10 SM),31,Masculino,Engenharia de Software,Engenharia de Computação,2 anos e meio,Bem,Alta,Médio,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 16:04:16,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),1,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",24,Masculino,Engenharia de Software,Análise e Desenvolvimento de Sistemas,4 anos,Bem,Alta,Médio,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,As tecnologias usadas para se comunicar e transferir dados.,A responsabilidade de manter a estabilidade e segurança.,A habilidade de criar objetos e mundos com a mente,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 16:13:17,Sim,Cursando Ensino Superior,De R$ 7.501 a R$ 10.000 (5–7 SM),6,Até R$ 3.000 (até ~2 SM),31,Masculino,Engenharia de Software,Engenharia de Dados e Inteligência Artificial,2 anos e meio,Bem,Alta,Médio,"Góspel, Hinos ou Canticos",Construir um robô que resolve problemas do dia a dia.,As tecnologias usadas para se comunicar e transferir dados.,A possibilidade de construir e ver um produto funcionando.,A habilidade de criar objetos e mundos com a mente,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 16:28:36,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),3,De R$ 10.001 a R$ 15.000 (7–10 SM),19,Femenino,Engenharia de Software,,4 anos,Bem,Alta,Avançado,Outros,Criar um jogo eletrônico divertido e viciante.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 16:30:29,Sim,Cursando Ensino Superior,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",3,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",27,Masculino,Engenharia de Software,Segurança da Informação e Defesa Cibernética,5 anos ou mais,Mal,Pouca,Médio,Outros,Proteger dados sensíveis de um vazamento cibernético.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,O poder de ficar invisível,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 16:33:23,Sim,Ensino Superior Completo,Acima de R$ 20.000 (14+ SM),2,De R$ 20.001 a R$ 30.000 (14–21 SM),44,Masculino,Análise e Desenvolvimento de Sistemas,Ciência de Dados (e Inteligência Artificial),2 anos e meio,Bem,Alta,Avançado,Rock e Metal,Proteger dados sensíveis de um vazamento cibernético.,As tecnologias usadas para se comunicar e transferir dados.,A chance de analisar informações e encontrar padrões.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 16:40:48,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),4,De R$ 10.001 a R$ 15.000 (7–10 SM),18,Masculino,Engenharia de Software,Análise e Desenvolvimento de Sistemas,4 anos,Bem,Média,Médio,"Sertanejo, Samba ou Pagode",Desenvolver uma campanha de anúncios online que atrai milhares de clientes.,As tecnologias usadas para se comunicar e transferir dados.,A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 16:57:14,Sim,Ensino Superior Completo,De R$ 1.501 a R$ 3.000 (1–2 SM),2,De R$ 7.501 a R$ 10.000 (5–7 SM),31,Femenino,Ciência de Dados (e Inteligência Artificial),"Tecnologia da Informação (Infraestrutura, Programação e Dados)",2 anos e meio,Bem,Pouca,Iniciante,"Sertanejo, Samba ou Pagode",Construir um robô que resolve problemas do dia a dia.,A segurança dos sistemas e os códigos de acesso.,A chance de analisar informações e encontrar padrões.,A habilidade de criar objetos e mundos com a mente,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 16:58:46,Sim,Ensino Superior Completo,Sem renda,4,De R$ 7.501 a R$ 10.000 (5–7 SM),27,Masculino,Análise e Desenvolvimento de Sistemas,Jogos Digitais,5 anos ou mais,Bem,Alta,Avançado,Rock e Metal,Criar um jogo eletrônico divertido e viciante.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 17:03:09,Sim,Cursando Ensino Superior,Até R$ 1.500 (~até 1 SM),3,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",22,Masculino,Análise e Desenvolvimento de Sistemas,Engenharia de Software,4 anos,Mal,Pouca,Iniciante,Rock e Metal,Criar um jogo eletrônico divertido e viciante.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A habilidade de criar objetos e mundos com a mente,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 17:06:24,Sim,Ensino Médio + Técnico,Sem renda,4,De R$ 15.001 a R$ 20.000 (10–14 SM),22,Masculino,Análise e Desenvolvimento de Sistemas,Jogos Digitais,2 anos e meio,Mal,Média,Médio,Outros,Criar um jogo eletrônico divertido e viciante.,As tecnologias usadas para se comunicar e transferir dados.,A oportunidade de usar a criatividade para inovar.,A habilidade de criar objetos e mundos com a mente,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 17:10:08,Sim,Cursando Ensino Superior,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",3,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",28,Femenino,Marketing Digital,,2 anos e meio,Bem,Alta,Médio,"Góspel, Hinos ou Canticos",Desenvolver uma campanha de anúncios online que atrai milhares de clientes.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 17:51:29,Sim,Ensino Médio Completo,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",2,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",30,Masculino,Engenharia de Software,"Tecnologia da Informação (Infraestrutura, Programação e Dados)",4 anos,Bem,Média,Médio,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 17:54:08,Sim,Cursando Ensino Superior,Até R$ 1.500 (~até 1 SM),2,Até R$ 3.000 (até ~2 SM),35,Masculino,Engenharia de Computação,Engenharia de Software,5 anos ou mais,Bem,Alta,Médio,"Góspel, Hinos ou Canticos",Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 18:19:51,Sim,Cursando Ensino Superior,Sem renda,4,Prefiro não informar,20,Masculino,Engenharia de Software,Engenharia de Computação,5 anos ou mais,Mal,Alta,Médio,"Eletronica, Afrobeats ou Drum n Bass",Criar um jogo eletrônico divertido e viciante.,A inteligência artificial e os robôs.,A responsabilidade de manter a estabilidade e segurança.,A capacidade de entender e consertar qualquer coisa,Buscar ferramentas e tecnologias que possam automatizar a solução.
08/09/2025 18:54:39,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),1,Até R$ 3.000 (até ~2 SM),23,Masculino,Análise e Desenvolvimento de Sistemas,Engenharia de Software,2 anos e meio,Bem,Alta,Médio,"Eletronica, Afrobeats ou Drum n Bass",Construir um robô que resolve problemas do dia a dia.,As tecnologias usadas para se comunicar e transferir dados.,A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Buscar ferramentas e tecnologias que possam automatizar a solução.
08/09/2025 18:59:01,Sim,Cursando Ensino Superior,Sem renda,3,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",19,Masculino,Engenharia de Software,Jogos Digitais,4 anos,Bem,Média,Avançado,Outros,Criar um jogo eletrônico divertido e viciante.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A habilidade de criar objetos e mundos com a mente,Pensar na solução mais criativa ou que possa ser descrita visualmente
08/09/2025 18:59:10,Sim,Ensino Médio + Técnico,De R$ 1.501 a R$ 3.000 (1–2 SM),2,De R$ 10.001 a R$ 15.000 (7–10 SM),42,Masculino,"Tecnologia da Informação (Infraestrutura, Programação e Dados)",Redes de Computadores (Cloud e Segurança),2 anos e meio,Bem,Média,Iniciante,"Góspel, Hinos ou Canticos",Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A oportunidade de usar a criatividade para inovar.,A capacidade de entender e consertar qualquer coisa,Buscar ferramentas e tecnologias que possam automatizar a solução.
08/09/2025 19:03:59,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),5,Até R$ 3.000 (até ~2 SM),21,Femenino,Marketing Digital,Engenharia de Software,4 anos,Bem,Alta,Médio,"Sertanejo, Samba ou Pagode",Desenvolver uma campanha de anúncios online que atrai milhares de clientes.,"O visual, os efeitos especiais e o design dos cenários.",A oportunidade de usar a criatividade para inovar.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 19:09:54,Sim,Ensino Médio + Técnico,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",1,Sem renda familiar,33,Masculino,Análise e Desenvolvimento de Sistemas,,4 anos,Muito Bem,Média,Médio,"Eletronica, Afrobeats ou Drum n Bass",Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A oportunidade de usar a criatividade para inovar.,A habilidade de criar objetos e mundos com a mente,Buscar ferramentas e tecnologias que possam automatizar a solução.
08/09/2025 19:30:02,Sim,Ensino Superior Completo,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",2,De R$ 7.501 a R$ 10.000 (5–7 SM),34,Masculino,Engenharia de Software,"Tecnologia da Informação (Infraestrutura, Programação e Dados)",2 anos e meio,Mal,Alta,Médio,Rock e Metal,Criar um jogo eletrônico divertido e viciante.,As tecnologias usadas para se comunicar e transferir dados.,A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 19:34:02,Sim,Cursando Ensino Superior,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",1,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",26,Masculino,Análise e Desenvolvimento de Sistemas,Engenharia de Software,2 anos e meio,Bem,Alta,Médio,"Eletronica, Afrobeats ou Drum n Bass",Construir um robô que resolve problemas do dia a dia.,As tecnologias usadas para se comunicar e transferir dados.,A possibilidade de construir e ver um produto funcionando.,O poder de ficar invisível,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 19:37:00,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),2,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",25,Masculino,Análise e Desenvolvimento de Sistemas,Engenharia de Software,4 anos,Bem,Alta,Médio,"Clássica, Jazz ou Romantica",Criar um jogo eletrônico divertido e viciante.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Buscar ferramentas e tecnologias que possam automatizar a solução.
08/09/2025 19:39:42,Sim,Ensino Superior Completo,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",2,De R$ 10.001 a R$ 15.000 (7–10 SM),25,Masculino,Banco de Dados (Engenharia de Dados),Engenharia de Dados e Inteligência Artificial,2 anos e meio,Muito Bem,Alta,Avançado,"Eletronica, Afrobeats ou Drum n Bass",Proteger dados sensíveis de um vazamento cibernético.,"O visual, os efeitos especiais e o design dos cenários.",A responsabilidade de manter a estabilidade e segurança.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 19:44:07,Sim,Cursando Ensino Superior,Sem renda,4,Prefiro não informar,31,Masculino,Análise e Desenvolvimento de Sistemas,Jogos Digitais,2 anos e meio,Bem,Média,Médio,Rock e Metal,Criar um jogo eletrônico divertido e viciante.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 19:44:22,Sim,Ensino Superior Completo,De R$ 7.501 a R$ 10.000 (5–7 SM),3,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",38,Femenino,Engenharia de Software,Ciência de Dados (e Inteligência Artificial),2 anos e meio,Muito Bem,Alta,Avançado,"Sertanejo, Samba ou Pagode",Desenvolver uma campanha de anúncios online que atrai milhares de clientes.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 19:56:01,Não,Cursando Ensino Superior,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",2,De R$ 7.501 a R$ 10.000 (5–7 SM),23,Femenino,Engenharia de Dados e Inteligência Artificial,Banco de Dados (Engenharia de Dados),4 anos,Bem,Alta,Avançado,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 20:01:45,Não,Ensino Superior Completo,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",2,De R$ 15.001 a R$ 20.000 (10–14 SM),25,Masculino,Engenharia de Dados e Inteligência Artificial,Análise e Desenvolvimento de Sistemas,2 anos e meio,Muito Bem,Alta,Médio,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 20:11:36,Não,Ensino Médio + Técnico,De R$ 1.501 a R$ 3.000 (1–2 SM),4,De R$ 7.501 a R$ 10.000 (5–7 SM),21,Masculino,Engenharia de Software,Banco de Dados (Engenharia de Dados),5 anos ou mais,Mal,Alta,Médio,"Funk, Hip-hop ou Rap",Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 20:12:59,Não,Ensino Superior Completo,De R$ 1.501 a R$ 3.000 (1–2 SM),2,De R$ 10.001 a R$ 15.000 (7–10 SM),31,Femenino,Ciência de Dados (e Inteligência Artificial),Engenharia de Software,2 anos e meio,Bem,Média,Médio,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A chance de analisar informações e encontrar padrões.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 20:27:05,Sim,Cursando Ensino Superior,Sem renda,4,Prefiro não informar,19,Masculino,Análise e Desenvolvimento de Sistemas,Engenharia de Software,4 anos,Bem,Média,Avançado,"Sertanejo, Samba ou Pagode",Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 20:28:47,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),0,Até R$ 3.000 (até ~2 SM),21,Masculino,Engenharia de Software,Segurança da Informação e Defesa Cibernética,5 anos ou mais,Bem,Alta,Médio,"Góspel, Hinos ou Canticos",Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A oportunidade de usar a criatividade para inovar.,A capacidade de entender e consertar qualquer coisa,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 20:31:30,Sim,Ensino Superior Completo,Acima de R$ 20.000 (14+ SM),2,De R$ 20.001 a R$ 30.000 (14–21 SM),41,Masculino,Engenharia de Dados e Inteligência Artificial,Ciência de Dados (e Inteligência Artificial),2 anos e meio,Muito Bem,Alta,Avançado,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A chance de analisar informações e encontrar padrões.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
